-1 -1  2  A  -1 -1  D -1   F  0  B -1  -1  8 -1 -1

-1  8  3 -1   5  F -1 -1  -1 -1 -1  9  -1 -1 -1 -1

-1  F  5 -1  -1 -1 -1 -1   C -1 -1  8   D -1  1 -1

-1 -1 -1 -1   B  2 -1 -1  -1 -1  E -1   5 -1  3  7


-1 -1 -1 -1  -1  E  3  5   4 -1  D -1  -1 -1  8 -1

-1  7 -1 -1   2 -1 -1  9  -1  A  5 -1  -1  1 -1 -1

 D  4 -1 -1  -1 -1 -1  B  -1  6 -1 -1  -1 -1 -1 -1

-1  B  9  2  -1 -1  0  7  -1  8 -1 -1  -1 -1  D -1


 1 -1 -1 -1  -1  9 -1 -1   B -1 -1 -1   2  A  C  6

-1 -1 -1  9  -1  7 -1  0  -1 -1  8 -1  -1  D -1 -1

-1  D -1 -1  -1 -1 -1 -1  -1  2  7 -1  -1  5 -1 -1

-1 -1 -1 -1  -1 -1 -1  6   9 -1 -1 -1   B -1 -1  E


 C -1 -1 -1  -1  0 -1  4  -1  7 -1 -1  -1  3  5  8

-1 -1 -1 -1  -1  B  7 -1  -1  C -1 -1  -1 -1 -1 -1

-1  0  6  3   F -1 -1  C   1 -1 -1 -1   7  2 -1  A

-1  2 -1  8   6  5 -1  D   E -1 -1 -1  -1 -1 -1  0
