-1 -1  6  2  -1 -1  C -1   E -1 -1 -1   F -1  B -1

 1  7  4 -1   8 -1 -1  9   B -1  A -1  -1  5 -1 -1

-1 -1 -1 -1   1 -1 -1 -1  -1  D  8 -1  -1 -1  7  2

-1 -1 -1  9   6 -1 -1  F  -1 -1 -1 -1  -1 -1  4 -1


-1 -1 -1 -1  -1  6 -1 -1  -1  C  D -1   E -1 -1  1

 D -1  E  4   C -1 -1  5  -1  0 -1  2  -1 -1  A -1

 7  2 -1  A  -1 -1 -1 -1   F  9 -1 -1  -1 -1 -1 -1

 C  8  3 -1  -1 -1  9 -1  -1 -1  5  E  -1  F -1  D


 E -1 -1  6  -1  3  B  D  -1 -1 -1 -1  -1 -1  1  4

-1 -1 -1 -1   E -1 -1  4   8  3 -1  1   A -1 -1 -1

 4 -1 -1 -1  -1  8 -1 -1   A -1 -1  D  -1  E  2 -1

-1 -1  B -1  -1 -1 -1  A  -1  5 -1 -1  -1 -1  8  0


-1 -1  C -1  -1 -1  7  B  -1 -1 -1 -1   4 -1 -1 -1

 3 -1  F  E  -1  0 -1  8  -1 -1 -1  9  -1 -1 -1  A

-1 -1 -1 -1  -1 -1 -1 -1   6  F -1 -1  -1 -1  5 -1

-1 -1  1 -1   2 -1  F -1   5 -1 -1  4   D -1 -1  E
